;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;
end_of_natural_dyes_title;천연 염료의 끝?;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;
end_of_natural_dyes_desc;19세기 중반 인간이 만든 합성 염료의 발견은 천연 염료에 대한 대규모 시장의 오랜 하락을 촉발했습니다. 산업 혁명으로 가능해진 산업 섬유 생산을 통해 대량으로 생산할 수 있는 합성 염료는 천연 염료를 빠르게 대체했으며, 후에 등장하는 합성 섬유와도 천연 염료와 달리 잘 어울렸습니다. 우리나라의 일부 지역에서도 천연 염료 생산이 몇년간 꾸준히 감소하고 있으며, 이곳의 생산자들은 지금 자신들의 상품을 팔 수 없는 상태에 이르렀습니다. 파산에 직면한 대부분의 염료 생산자들은 새로운 제품을 물색하고 있습니다. 정부인 우리가 새로운 시장을 찾아줌으로써 그들을 도울 수 있습니다.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;
reorganize_sierra_leone_desc;Now that we have taken possession of this African colony, we should reorganize its structure to make it truly part of our greater colonial administration.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_north_german_league_title;Create the North German League;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_north_german_league_desc;We have now obtained a dominant position over the north German states - it is time to complete this, to better pursue the greater goal of German unity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kingdom_of_hanover_title;Proclaim the Kingdom of Hanover;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kingdom_of_hanover_desc;For ages we've been dukes. Today, with the world recognizing us a greater power and Bremen secured, we shall proclaim the Kingdom of Hanover and lay our claim on all the German coast !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
united_frisia_title;The Frisian unity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
united_frisia_desc;The county of Frisia, close enough to Burgundy to be threatened by and close enough the sea to fear Scandinavia, still managed to survive for centuries. The Burgundian conquests left Frisia divided, but now, Frisia will be one !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_westphalia_title;Become Westphalia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_westphalia_desc;With our control over Westfalen we are able to elevate our country to the Grand Duchy of Westfalen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_rhineland_BEG_title;Become Rhineland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_rhineland_BEG_desc;Now that we defeated our former master Burgundy and acquired land on the other bank of the Rhine, we can proclaim the Kingdom of Rhineland !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
join_rhineland_BEG_title;Join Rhineland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
join_rhineland_BEG_desc;A nation emerged on the other bank of the Rhine, calling itself the Rhineland. We can join them, as we occupy the other bank.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_rhineland_title;The Greater Rhineland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_rhineland_desc;The Rhineland is a powerful and wealthy region. However, we only own a small part of the river that gives us our name. We must claim and secure all the Rhine, from the sources to the Rhine Delta !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
join_rhineland_BEG_AI_title;Join Rhineland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
join_rhineland_BEG_AI_desc;A nation emerged on the other bank of the Rhine, calling itself the Rhineland. We can join them, as we occupy the other bank.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
treaty_of_batavia_title;Treaty of Batavia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
treaty_of_batavia_desc;Batavia is under our control. Now is the time to sit down with our former colonial masters and work out a peace deal that will see it transferred back into Javanese hands.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_enlightenment_title;Embrace the Ideal of Enlightenment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_enlightenment_desc;The time has come for our people to stop clinging to ancient tradition. We must look to the nations of the west, and embrace their technology, if we are to retain our independence and our place in the world.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_tradition_title;Embrace the Ideal of Tradition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_tradition_desc;For too long have we looked to the nations of the west. We reject their ways and their superiority, for our are now and always have been best for us.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_progress_title;Embrace the Ideal of Progress;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_progress_desc;Our march towards civilization and matching any imperial nation with our ingenuity continues. We shall not be left behind!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_independence_title;Embrace the Ideal of Independence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_independence_desc;We will not allow our nation to be overrun by the western imperialists. We are strong, united, and shall remain such. Against all odds, our nation shall endure.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_loyalty_title;Embrace the Ideal of Loyalty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_loyalty_desc;Every citizen in our nation exists to serve, towards the greater good. It is only by acting in unison that we can hope to preserve our nation in the perilous times to come.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_unity_equality_title;Embrace the Ideal of Unity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_unity_equality_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_unity_order_title;Embrace the Ideal of Unity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_unity_order_desc;We move forward, but as a single people with a singular purpose. We shall not succumb to discord and revolution. Unity is our only hope of greatness.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_prosperity_equality_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_prosperity_equality_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_prosperity_liberty_title;Embrace the Ideal of Prosperity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_prosperity_liberty_desc;Our nation is wealthy and our people prosperous. This is and always shall be our greatest strength.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_glory_liberty_title;Embrace the Ideal of Glory;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_glory_liberty_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_glory_might_title;Embrace the Ideal of Glory;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_glory_might_desc;Ours is a great and powerful nation, possessing freedom and strength that other nations can only envy. We shall boldly stride into the future, where our greater destiny awaits.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_dominion_might_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_dominion_might_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_dominion_order_title;Embrace the Ideal of Dominion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_dominion_order_desc;Our nation is strong, our borders inviolate. We shall march into the future together, humbly accepting the knowledge that our nation is the envy of the entire world.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_fraternity_title;Embrace the ideal of Fraternity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_fraternity_desc;In our country, all men are created equal. It is time we fully embrace that maxim and throw off the shackles of iniquity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_freedom_title;Embrace the Ideal of Freedom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_freedom_desc;Ours is a nation where all men are free to do as they wish, to advance their lot in life and achieve the greatness they were born to. This is our highest virtue, and the source of our nation's strength.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_supremacy_title;Embrace the ideal of Supremacy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_supremacy_desc;Our culture is astounding. Our military might is unparalleled. Our industry is dazzling. Soon the rest of the world will know of our might, and shake as we step onto the wider stage.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_productivity_title;Embrace the Ideal of Productivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_productivity_desc;Ours is a wealthy nation filled with industrious, driven people. Each man pushes himself to do better, for the betterment of all.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_equality_title;Embrace the Ideal of Equality;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_equality_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of equality and social fairness above all else.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_liberty_title;Embrace the Ideal of Liberty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_liberty_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of liberty and personal freedom above all else.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_might_title;Embrace the Ideal of Might;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_might_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of force and military power above all else.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_order_title;Embrace the Ideal of Order;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
switch_to_order_desc;It is time for our nation to change the character of our people, to encourage them to embrace the values of law and order above all else.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_persia_title;Claim the title of Shahanshah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_persia_desc;We defeated our enemies and are now the only dynasty ruling in Persia. We're now in position to claim the prestigious title of Shahanshah, the King of Kings !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_iran_title;The King of Kings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
greater_iran_desc;With the conquest of Persia, Khorasan and Mesopotamia, our great dynasty can now restore the Iranian Empire of Cyrus the Great. Long live the Shahanshah- the King of Kings!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
timurid_legacy_title;Legacy of Timur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
timurid_legacy_desc;Kerman is the last territory held by the heirs of Timur in Persia. The Qajar and other vultures have challenged the claims of the rightful Shahanshah but now we have retaken Khuzestan from the Iraqis we can make them acknowledge our prominence !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enact_liquor_prohibition_title;Liquor Prohibition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enact_liquor_prohibition_desc;The Temperance League, bold from many perceived victories against the uses and abuses of alchohol in our nation, are lobbying political decision makers to enact a nation wide ban on the sale, use and possession of alcoholic beverages. While opponents argue that prohibition threatens to turn the alcohol market into a lucrative business for organized crime, the Temperance League, on the contrary, argues that alcohol is in fact the root cause of many social ills, not least of which is, indeed, crime.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_prohibition_title;Repeal Prohibition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_prohibition_desc;Some say that our nations's experiment with the outlawing of alcohol has gone on for too long, and argue that it should be abolished.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
institute_central_bank_title;National Banking Act;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
institute_central_bank_desc;While our government has for some time maintained a central bank, some voices within the economic debate have begun arguing in favor of monopolizing the issuing of currency to a strict government prerogative. Proponents argue that this will lead to an increase in economic stability, while opponents see it as a fundamental breach of the freedom of trade.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enact_female_suffrage_title;Enact Woman's Suffrage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
enact_female_suffrage_desc;The idea of Woman's Suffrage increasingly gained traction in Western society throughout the 19th century. First advocated in the writings of early liberal philosophers, such as England's Mary Woolstonecraft or John Stuart Mill, the idea and ideology of Woman's Suffrage gradually developed, as the century wore on, into a coherent ideology in its own right: Feminism. The experience during The First World War, of women working in factories, and other jobs previously reserved for men during peacetime, is often said to have been a crucial pivot point in securing Woman's right to work, vote, and, in other fields of society, achieve legal equality with men.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_rajputana_title;Form Rajputana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_rajputana_desc;We must unite the Rajput people under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reclaim_granada_title;Reclaim Granada from the Savages!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reclaim_granada_desc;We have been humiliated again and again by the Incan savages. They have managed to conquer half of our great nation. Their atrocities cannot go unpunished! It is time we beat them back and reclaim our great nation!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_granada_title;Form Granada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_granada_desc;We have managed to unite the former Spanish colonies in Ameriga. We can now proclaim the state of Granada.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rohnnst_question1_title;Rohnnst Indians;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rohnnst_question1_desc;When the Cree people mixed with the Chinese of Qingqiu and Vinlandic Scandinavians, a new race was born - the Rohnnst. They traded with the colonizers and after long and extensive contact with them they formed a proto-state in the middle of the wild Arcadian plains and forests. But the march of civilization is endless and they have to make a decision today. Will they accept our hegemony?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rohnnst_question2_title;Rohnnst Indians;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rohnnst_question2_desc;When the Cree people mixed with the Chinese of Qingqiu and Vinlandic Scandinavians, a new race was born - the Rohnnst. They traded with the colonizers and after long and extensive contact with them they formed a proto-state in the middle of the wild Arcadian plains and forests. But the march of civilization is endless and they have to make a decision today. Will they accept our hegemony?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rohnst_decision_title;Integration of the Rohnst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rohnst_decision_desc;Our policy of integrating the native peoples of Arcadia in our state must extend to the Rohnst who are closer to us than most of the other tribes !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
iroquois_decision_title;Integration of the Iroquois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
iroquois_decision_desc;The Iroquois people are numberous in the Great Lakes region. We have had a mxied relationship with the old Confederation but with steps taken to integrate the tribes into our social fabric we can make them accept our rule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
algonquin_decision_title;Integration of the Algonquin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
algonquin_decision_desc;The Algonquin tribes are the second largest native people in Vinland behind the Iroquois. Despite being organized in small tribes, they have acquired a common conscience over the years because of the colonization of their lands. With our policy towards the natives hinted at collaboration we can negotiate with them to make them full Vinlandic citizens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sioux_decision_title;The Tribes from the Plains;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sioux_decision_desc;The Great Plains of Arcadia are inhabited by the Sioux people, divided between the Nakota, Lakota and Dakota tribes. Their territory is challenged by many different states and we could enforce our claims by making the Sioux full citizens of our country.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cherokee_decision_title;Integration of the Cherokee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cherokee_decision_desc;The Cherokee, or Tsalagi in their own language, are the Native people with whom the Dual-Monarchy had the most contacts. The Kingdom of Plantagenia ended their independence but the Cherokee never forgot their very culture. Proposals have emerged in Nouvelle-Orleans to make a special Cherokee act that would grant full citizenship to the tribes from the Montagnes Enfumees.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pueblo_decision_title;Integration of the Cunmin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pueblo_decision_desc;"The Cunmin tribes were the prime trade partners of the early Dong Guo city states and differentiated themselves from the many other Native tribes the Chinese settlers met by living in villages hence their name which mean ""Villagers"", more commonly known as Pueblo because of Spanish conquistadors. As the Federation expands east it controls more and more of their territory and some of the politicians of Sanbao have suggested that we should grant them full citizenship to strenghten our rule on the Wild East.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
apache_decision_title;Integration of the Apache;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
apache_decision_desc;Spanish colonization of Ameriga and Southern Arcadia integrated the Native elites in the colonial system granting nobility title to the most Hispanicized. But in the northern parts of Lusitania, the city social system did not exist and many encroachements between Lusitanian and Apache tribes erupted. With our control over the numerous Apache territories complete we can grant them citizenship and let them administrate thier territories in our name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_russia_title;Proclaim the Tsardom of all Russias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_russia_desc;Our domination over the Eastern Slavs is complete, and the time has come to declare a single states of all the Russians. The Great Bear has finally risen, and now Europe shall fear us!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mongolian_protectorate_title;The Mongolian Protectorate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mongolian_protectorate_desc;Our influence in Mongolia is such that we are in a position to pry the nation away from the Chinese and into our control. They would be our vassals, benefiting from protection against Chinese claims on their land.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set_expansion_focus_title;Russian Ambitions In The West;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set_expansion_focus_desc;If Russia is to become a great empire, we must determine how we are to deal with our strong neighbors.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
move_capital_to_nyenschantz_title;Move The Capital To Nyenschantz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
move_capital_to_nyenschantz_desc;In the early 18th century, Mikhail the Great made great efforts to modernize and strengthen Muscovy. We should honor and continue his efforts by building a great city on the Baltic and making it our capital. Nyenschantz isn't ice-free all year, but it's easily defensible and already somewhat populated. Furthermore, it would allow our a greater degree of control over our new Baltic subjects, which could very well make integrating them easier.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
move_capital_to_rostov_title;Move The Capital To Rostov;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
move_capital_to_rostov_desc;Rostov is located at the mouth of the Don River and has easy access to the Black Sea. If we are to focus on expanding southwards, it would make an excellent capital, giving us easy access to the entire Mediterranean and opening up many opportunities for trade, diplomacy, and expansion. We would also be able to exert greater control over recently incorporated steppe peoples, which could very well make integrating them easier.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_ruthenian_culture_title;Integrate the Ruthenians;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_ruthenian_culture_desc;As our (somewhat) close cultural kin, the Ruthenians certainly deserve full political rights within our empire.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_tatar_culture_title;Integrate the Kazan Tatars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_tatar_culture_desc;"While the Tatars have traditionally been our rivals and a barrier to Russian unification, some of them have taken up our cause and religion, including the Muscovite Temryukov dynasty. These ""Russo-Kryashens"", as they are known, are a sure sign that we will be able to earn the loyalty of our Tatar subjects. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_astrakhani_culture_title;Integrate the Volga Tatars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_astrakhani_culture_desc;The Tatars of Astrakhan are very similar to those in Kazan, although rather more of them are Muslim. It will not take much more effort to integrate them into Russia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_georgian_culture_title;Integrate Georgia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_georgian_culture_desc;The Caucasus is full of small, bickering nationalities. Georgians are potentially useful to us for their legacy of Orthodox Christianity, and if we empower them, they may serve as a useful bulwark against Turkish aggression, or any other state that may arise in the Middle East.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_estonian_culture_title;Integrate the Estonians;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_estonian_culture_desc;We've been trading with the Estonians for quite a while. As long as we show some respect for their language and culture, we should be able to keep them from turning to Scandinavia or elsewhere for freedom.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_latvian_culture_title;Integrate the Latvians;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_latvian_culture_desc;Like the Estonians, we have interacted with Latvians for some time, and integrating them into our social fabric should be quite simple.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_finnish_culture_title;Integrate Finland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_finnish_culture_desc;We can finish enforcing our hegemony over the Baltic by giving special consideration to the needs of the Finnish people. By doing so, we will create a strong and loyal buffer against any Scandinavian revanchism.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
moscow_expansion_steppes_title;The Wild Lands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
moscow_expansion_steppes_desc;The Tsardom has competed with the Tatars for centuries and the areas along the Don and the Volga rivers have changed hands regularly. The current balance of power makes us a possible target of the Scandinavians through their puppet of Novgorod but should we rise again we could easily claim the Steppes as ours!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
create_rossian_empire_title;For the Holy Russia!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
create_rossian_empire_desc;The Empire of Holy Russia is a natural successor of the Tsardom of Moscow. We shall use the newly-gained power to bring Mother Russia to its former glory.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mother_russia_calling_title;For Holy Russia!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mother_russia_calling_desc;The Empire of Holy Russia is a natural successor of the Tsardom of Moscow. We shall use the newly-gained power to bring Mother Russia to its former glory.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_siberia_title;Go east, young man;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_siberia_desc;The Siberian plains were claimed by the Russian rulers since the times of Vladimir Atlasov and Danila Antsiferov. We have to keep our word.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_batavia_title;Boer Unification;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_batavia_desc;Since the Boer Wars following the Great German Wars a new idea has spread amongst the Afrikaans people. More and more people are advocating for a new state to rise to unify the Boer States. This state will maybe be able to reclaim Kaap and maybe even threaten the European establishment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_south_africa_title;Form South Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_south_africa_desc;With the Cape Colony under our control we can form a true, united Boer republic-- one that at last will keep us from foreign domination and Burgundian rule.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
setup_decision_title;Setup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
setup_decision_desc;This should never be read outside of a localisation file.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_lesser_germany_title;Form the Danubian Confederation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_lesser_germany_desc;Our dominant position over the south and central German states is now firmly established. While it will still take time to unify all the Germans, today we can at last form a proper German kingdom - a stepping-stone to greater things!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAQ_dec_title;FAQ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAQ_dec_desc;For the obvious questions.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DUA_SS_title;History of the Dual-Monarchy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DUA_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRG_SS_title;History of Burgundy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRG_SS_desc;The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLM_SS_title;History of Gran Colombia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
